,artist,rank,song,stay,week
0,Bobby Vinton,1,There! I've Said It Again,13,1964-01-04
1,The Kingsmen,2,Louie Louie,18,1964-01-04
2,The Singing Nun (Soeur Sourire),3,Dominique,13,1964-01-04
3,Lenny Welch,4,Since I Fell For You,16,1964-01-04
4,Bobby Rydell,5,Forget Him,16,1964-01-04
5,The Murmaids,6,Popsicles And Icicles,14,1964-01-04
6,Johnny Tillotson,7,Talk Back Trembling Lips,13,1964-01-04
7,Martha & The Vandellas,8,Quicksand,12,1964-01-04
8,Shirley Ellis,9,The Nitty Gritty,14,1964-01-04
9,Joey Powers,10,Midnight Mary,13,1964-01-04
10,The Caravelles,11,You Don't Have To Be A Baby To Cry,13,1964-01-04
11,Dion Di Muci,12,Drip Drop,11,1964-01-04
12,The Trashmen,13,Surfin' Bird,13,1964-01-04
13,Brenda Lee,14,As Usual,11,1964-01-04
14,Jack Jones,15,Wives And Lovers,14,1964-01-04
15,Roy Orbison,16,Pretty Paper,7,1964-01-04
16,Jan & Dean,17,Drag City,11,1964-01-04
17,The Beach Boys,18,Be True To Your School,12,1964-01-04
18,Nino Tempo & April Stevens,19,Whispering,9,1964-01-04
19,The Secrets,20,The Boy Next Door,10,1964-01-04
20,Dale & Grace,21,I'm Leaving It Up To You,15,1964-01-04
21,Chubby Checker,22,Loddy Lo,13,1964-01-04
22,Trini Lopez,23,Kansas City,10,1964-01-04
23,Marvin Gaye,24,Can I Get A Witness,16,1964-01-04
24,Tommy Roe,25,Everybody,14,1964-01-04
25,Ray Charles,26,That Lucky Old Sun,9,1964-01-04
26,Dick and DeeDee,27,Turn Around,9,1964-01-04
27,The Supremes,28,When The Lovelight Starts Shining Through His Eyes,11,1964-01-04
28,Garnet Mimms & The Enchanters,29,For Your Precious Love,9,1964-01-04
29,The Duprees featuring Joey Vann,30,Have You Heard,10,1964-01-04
30,The Tymes,31,Somewhere,11,1964-01-04
31,Dionne Warwick,32,Anyone Who Had A Heart,14,1964-01-04
32,The Marketts,33,Out Of Limits,14,1964-01-04
33,Jerry Butler,34,Need To Belong,11,1964-01-04
34,The Rip Chords,35,Hey Little Cobra,14,1964-01-04
35,The Chiffons,36,I Have A Boyfriend,10,1964-01-04
36,The Beach Boys,37,In My Room,11,1964-01-04
37,"Peter, Paul & Mary",38,Stewball,7,1964-01-04
38,The Miracles,39,I Gotta Dance To Keep From Crying,10,1964-01-04
39,Jimmy Gilmer And The Fireballs,40,Daisy Petal Pickin',11,1964-01-04
40,Rick Nelson,41,For You,11,1964-01-04
41,The Ronettes,42,"Baby, I Love You",9,1964-01-04
42,Robin Ward,43,Wonderful Summer,10,1964-01-04
43,Chubby Checker,44,Hooka Tooka,14,1964-01-04
44,Dean And Jean,45,Tra La La La Suzy,13,1964-01-04
45,Garnet Mimms & The Enchanters,46,Baby Don't You Weep,9,1964-01-04
46,The Chad Mitchell Trio,47,The Marvelous Toy,9,1964-01-04
47,The Cookies,48,Girls Grow Up Faster Than Boys,11,1964-01-04
48,Lesley Gore,49,You Don't Own Me,13,1964-01-04
49,Rufus Thomas,50,Walking The Dog,14,1964-01-04
50,The Marvelettes,51,As Long As I Know He's Mine,13,1964-01-04
51,Neil Sedaka,52,Bad Girl,8,1964-01-04
52,Murry Kellum,53,Long Tall Texan,11,1964-01-04
53,Lesley Gore,54,She's A Fool,15,1964-01-04
54,Steve & Eydie,55,I Can't Stop Talking About You,9,1964-01-04
55,Cliff Richard,56,It's All In The Game,13,1964-01-04
56,Rick Nelson,57,Today's Teardrops,9,1964-01-04
57,Major Lance,58,"Um, Um, Um, Um, Um, Um",11,1964-01-04
58,The Dynamics,59,Misery,10,1964-01-04
59,Mary Wells,60,What's Easy For Two Is So Hard For One,17,1964-01-04
60,Henry Mancini And His Orchestra,61,Charade,11,1964-01-04
61,The Tams,62,What Kind Of Fool (Do You Think I Am),14,1964-01-04
62,The Orlons,63,Bon-Doo-Wah,6,1964-01-04
63,The Raindrops,64,That Boy John,8,1964-01-04
64,The Kingston Trio,65,Ally Ally Oxen Free,7,1964-01-04
65,Brooks O'Dell,66,Watch Your Step,9,1964-01-04
66,The Baja Marimba Band,67,Comin' In The Back Door,9,1964-01-04
67,The Girlfriends,68,"My One And Only, Jimmy Boy",7,1964-01-04
68,Connie Francis,69,In The Summer Of His Years,6,1964-01-04
69,Ginny Arnell,70,Dumb Head,12,1964-01-04
70,Burl Ives,71,True Love Goes On And On,6,1964-01-04
71,Tony Bennett,72,The Little Boy,9,1964-01-04
72,Bobby Darin,73,Be Mad Little Girl,7,1964-01-04
73,Dale Ward,74,Letter From Sherry,11,1964-01-04
74,Frank Ifield,75,Please,6,1964-01-04
75,Jay & The Americans,76,Come Dance With Me,8,1964-01-04
76,Anna King,77,If Somebody Told You,6,1964-01-04
77,Paul Petersen,78,The Cheer Leader,7,1964-01-04
78,The Pixies Three,79,Cold Cold Winter,5,1964-01-04
79,Jimmy Velvet,80,We Belong Together,7,1964-01-04
80,Barbara Lewis,81,Snap Your Fingers,5,1964-01-04
81,Patti LaBelle And The Blue Belles,82,You'll Never Walk Alone,8,1964-01-04
82,Bob And Earl,83,Harlem Shuffle,11,1964-01-04
83,Gene Thomas,84,Baby's Gone,5,1964-01-04
84,Little Johnny Taylor,85,Since I Found A New Love,4,1964-01-04
85,The Cascades,86,For Your Sweet Love,3,1964-01-04
86,Fats Domino,87,Who Cares,5,1964-01-04
87,Sammy Davis Jr.,88,The Shelter Of Your Arms,17,1964-01-04
88,Betty Everett,89,You're No Good,10,1964-01-04
89,The Exciters,90,Do-Wah-Diddy,4,1964-01-04
90,The Crescents Featuring Chiyo,91,Pink Dominos,10,1964-01-04
91,Bobby Bland,92,The Feeling Is Gone,3,1964-01-04
92,Betty Harris,93,His Kiss,4,1964-01-04
93,Otis Redding,94,Pain In My Heart,11,1964-01-04
94,Clyde McPhatter,95,Deep In The Heart Of Harlem,5,1964-01-04
95,Al (He's the King) Hirt,96,Java,16,1964-01-04
96,Johnny Mathis,97,I'll Search My Heart,4,1964-01-04
97,The Lettermen,98,Where Or When,2,1964-01-04
98,Maxine Brown,99,Coming Back To You,2,1964-01-04
99,Duane Eddy,100,The Son Of Rebel Rouser,2,1964-01-04
100,Bobby Vinton,1,There! I've Said It Again,13,1964-01-11
101,The Kingsmen,2,Louie Louie,18,1964-01-11
102,The Murmaids,3,Popsicles And Icicles,14,1964-01-11
103,The Singing Nun (Soeur Sourire),4,Dominique,13,1964-01-11
104,Bobby Rydell,5,Forget Him,16,1964-01-11
105,Lenny Welch,6,Since I Fell For You,16,1964-01-11
106,The Trashmen,7,Surfin' Bird,13,1964-01-11
107,Shirley Ellis,8,The Nitty Gritty,14,1964-01-11
108,Johnny Tillotson,9,Talk Back Trembling Lips,13,1964-01-11
109,Joey Powers,10,Midnight Mary,13,1964-01-11
110,Martha & The Vandellas,11,Quicksand,12,1964-01-11
111,Brenda Lee,12,As Usual,11,1964-01-11
112,Jan & Dean,13,Drag City,11,1964-01-11
113,Jack Jones,14,Wives And Lovers,14,1964-01-11
114,Roy Orbison,15,Pretty Paper,7,1964-01-11
115,Nino Tempo & April Stevens,16,Whispering,9,1964-01-11
116,The Caravelles,17,You Don't Have To Be A Baby To Cry,13,1964-01-11
117,Dion Di Muci,18,Drip Drop,11,1964-01-11
118,The Rip Chords,19,Hey Little Cobra,14,1964-01-11
119,The Marketts,20,Out Of Limits,14,1964-01-11
120,Ray Charles,21,That Lucky Old Sun,9,1964-01-11
121,Dionne Warwick,22,Anyone Who Had A Heart,14,1964-01-11
122,The Supremes,23,When The Lovelight Starts Shining Through His Eyes,11,1964-01-11
123,Marvin Gaye,24,Can I Get A Witness,16,1964-01-11
124,The Tymes,25,Somewhere,11,1964-01-11
125,Garnet Mimms & The Enchanters,26,For Your Precious Love,9,1964-01-11
126,Rick Nelson,27,For You,11,1964-01-11
127,Chubby Checker,28,Loddy Lo,13,1964-01-11
128,Trini Lopez,29,Kansas City,10,1964-01-11
129,Jimmy Gilmer And The Fireballs,30,Daisy Petal Pickin',11,1964-01-11
130,Major Lance,31,"Um, Um, Um, Um, Um, Um",11,1964-01-11
131,The Ronettes,32,"Baby, I Love You",9,1964-01-11
132,Chubby Checker,33,Hooka Tooka,14,1964-01-11
133,Jerry Butler,34,Need To Belong,11,1964-01-11
134,The Miracles,35,I Gotta Dance To Keep From Crying,10,1964-01-11
135,Dick and DeeDee,36,Turn Around,9,1964-01-11
136,Lesley Gore,37,You Don't Own Me,13,1964-01-11
137,The Beach Boys,38,Be True To Your School,12,1964-01-11
138,Dale & Grace,39,I'm Leaving It Up To You,15,1964-01-11
139,The Secrets,40,The Boy Next Door,10,1964-01-11
140,Tommy Roe,41,Everybody,14,1964-01-11
141,Dean And Jean,42,Tra La La La Suzy,13,1964-01-11
142,The Cookies,43,Girls Grow Up Faster Than Boys,11,1964-01-11
143,The Beach Boys,44,In My Room,11,1964-01-11
144,The Chiffons,45,I Have A Boyfriend,10,1964-01-11
145,The Chad Mitchell Trio,46,The Marvelous Toy,9,1964-01-11
146,Cliff Richard,47,It's All In The Game,13,1964-01-11
147,"Peter, Paul & Mary",48,Stewball,7,1964-01-11
148,The Duprees featuring Joey Vann,49,Have You Heard,10,1964-01-11
149,Garnet Mimms & The Enchanters,50,Baby Don't You Weep,9,1964-01-11
150,The Tams,51,What Kind Of Fool (Do You Think I Am),14,1964-01-11
151,Steve & Eydie,52,I Can't Stop Talking About You,9,1964-01-11
152,Henry Mancini And His Orchestra,53,Charade,11,1964-01-11
153,Mary Wells,54,What's Easy For Two Is So Hard For One,17,1964-01-11
154,The Orlons,55,Bon-Doo-Wah,6,1964-01-11
155,Connie Francis,56,In The Summer Of His Years,6,1964-01-11
156,The Marvelettes,57,As Long As I Know He's Mine,13,1964-01-11
157,Murry Kellum,58,Long Tall Texan,11,1964-01-11
158,The Baja Marimba Band,59,Comin' In The Back Door,9,1964-01-11
159,Rick Nelson,60,Today's Teardrops,9,1964-01-11
160,The Girlfriends,61,"My One And Only, Jimmy Boy",7,1964-01-11
161,Tony Bennett,62,The Little Boy,9,1964-01-11
162,Brooks O'Dell,63,Watch Your Step,9,1964-01-11
163,The Raindrops,64,That Boy John,8,1964-01-11
164,Andy Williams,65,A Fool Never Learns,10,1964-01-11
165,Burl Ives,66,True Love Goes On And On,6,1964-01-11
166,Dale Ward,67,Letter From Sherry,11,1964-01-11
167,Ginny Arnell,68,Dumb Head,12,1964-01-11
168,Anna King,69,If Somebody Told You,6,1964-01-11
169,Bob And Earl,70,Harlem Shuffle,11,1964-01-11
170,Frank Ifield,71,Please,6,1964-01-11
171,Patti LaBelle And The Blue Belles,72,You'll Never Walk Alone,8,1964-01-11
172,Barbara Lewis,73,Snap Your Fingers,5,1964-01-11
173,Fats Domino,74,Who Cares,5,1964-01-11
174,Sammy Davis Jr.,75,The Shelter Of Your Arms,17,1964-01-11
175,Jimmy Velvet,76,We Belong Together,7,1964-01-11
176,The Shirelles,77,Tonight You're Gonna Fall In Love With Me,5,1964-01-11
177,Al (He's the King) Hirt,78,Java,16,1964-01-11
178,Gloria Lynne,79,I Wish You Love,12,1964-01-11
179,Jay & The Americans,80,Come Dance With Me,8,1964-01-11
180,Betty Everett,81,You're No Good,10,1964-01-11
181,Little Johnny Taylor,82,Since I Found A New Love,4,1964-01-11
182,Bobby Goldsboro,83,See The Funny Little Clown,13,1964-01-11
183,Barbara Lewis,84,Puppy Love,12,1964-01-11
184,Paul Petersen,85,The Cheer Leader,7,1964-01-11
185,The Cascades,86,For Your Sweet Love,3,1964-01-11
186,Lloyd Price,87,Billie Baby,3,1964-01-11
187,The Crescents Featuring Chiyo,88,Pink Dominos,10,1964-01-11
188,The Exciters,89,Do-Wah-Diddy,4,1964-01-11
189,Otis Redding,90,Pain In My Heart,11,1964-01-11
190,Bobby Bland,91,The Feeling Is Gone,3,1964-01-11
191,Betty Harris,92,His Kiss,4,1964-01-11
192,Clyde McPhatter,93,Deep In The Heart Of Harlem,5,1964-01-11
