"","Artist","Song","Lyrics","Label"
"10","Dionne Warwick","Reach Out For Me","When you go through a day And the things that people say They make you feel so small They make you feel that  Your heart will just never stop aching And when you just can't accept the abuse you are taking Darlin' reach out for me  Don't you worry I'll see you through You just have to reach out for me I'll be there and I'll comfort you Oh yes I will Comfort you and love you How I'm gonna love you  When good friends prove untrue And the things they do to you They make you feel so bad They make you feel that You haven't a reason for living So when you feel you Could throw in the towel and just given in Darlin' reach out for me",3
"11","Dionne Warwick","You Can Have Him","Well, you can have him, I don't want him, He didn't love me anyway. He only wanted someone to play with But all I wanted was love to stay.  Well, you get stuck with the wrong man There's only one thing that you can do: Just dig a hole and jump right in it, And pull the ground right over you.  Well, you can have him I don't want him I don't Want him, He didn't love me anyway anyway. He only wanted someone to play with But all I wanted was love to stay.  The boy I love, he, up and left me, He ran away with my best friend. Comes home at night just for an hour When day light comes he's gone again.  Life without love is mighty empty, But confessions good for the soul. I'd rather have love that I can cling to Than have the world and all of it's gold.  You can have him, I don't want Him, He didn't love me, anyway. He only wanted some one to Play with Ohhhhhhhh! Was love to stayohhhhhhhhh!  You can have him Iiiiiiiiii don't want him He didn't love me anyway anyway He only wanted someone to play with someone to play With But all I want All I want All I want All I want",3
"16","Dionne Warwick","Here I Am","Ever since I was a little girl  Ever since I took my first step and said my first hello  I've been dancing I've been singing  I've been hoping I've been dreaming  I've been praying for a chance to show  Show the world  I can be  Just like the stars on TV  Here I am, here I am, here I am  Now isn't it crazy, crazy, isn't it wild  Here I am, here I am, here I am  Now isn't it crazy, crazy  Crazy, but here I am  Like a little voice inside my heart  Talkin' from the very start  Tellin' me which way to go  Always try, don't give up  If you want it, never stop  Take your time if you want to show  Show the world  You can be  Just like the stars on TV  Here I am, here I am, here I am  Now isn't it crazy, crazy, isn't it wild  Here I am, here I am, here I am  Now isn't it crazy, crazy  Crazy, but here I am  Through the fire  Through the rain  Isn't it a little insane  Here I am",3
"25","Dionne Warwick","You've Lost That Lovin' Feeling","You never close your eyes any more when I kiss your lips And there's no tenderness like before in your fingertips Mmm, you're tryin' hard not to show it, baby But baby, baby I know it  You've lost that lovin' feelin' me like you used to do You know that, We had a love, a love, a love you don't find every day, No no, no no, no no no no no no no So don't, don't, don't, don't, baby don't throw it away Na na, don't throw it away, don't throw it away Now baby, oh baby, I beg you baby, oh baby I beg you please, I need your love So bring it on back, bring it back Bring it back, bring it, bring it, bring it back  Bring back that lovin' feelin' o-o-oh that lovin' feelin'",3
"26","Dionne Warwick","Message To Michael","Spread your wings for New Orleans Kentucky bluebird, fly away  And take a message to Michael, message to Michael He sings each night in some cafe In his search to find wealth and fame I hear Michael has gone and changed his name  It's a year since he was here Kentucky bluebird, fly away  And take a message to Michael, message to Michael Tell him I miss him more each day As his train pulled out down the track Michael promised he'd soon be coming back  Oh tell him how my heart just breaks in two Since he journeyed far And even though his dreams of fame fell through To me he will always be a star  Spread your wings for New Orleans Kentucky bluebird, fly away  And take a message to Michael, message to Michael Ask him to start for home today When you find him please let him know Rich or poor, I will always love him so  Fly away, Kentucky bluebird Fly away, Kentucky bluebird Fly away, fly away, fly away, fly away.",3
"27","Dionne Warwick","Let Me Be Lonely","Oh, let me be lonely I wanna be faithful and honest And true to the one I love The one I love Oh, let me be lonely I've gotta be someone he's proud To come home to some happy day What a day that will be I wanna be there, be there by the door When he comes back to me If I deceive him even once, I couldn't face him Oh, I know I couldn't face him If I give in to loneliness And hold you tight All through the night Oh, let me, let me be lonely 'Cause I love him only Oh, let me be, oh, let me be Let me be lonely I wanna be there, be there by his side All through my life and if I ever let him down I have to tell him, oh yes, I have to tell him And if I did, what could he do? He'd say goodbye and I would die, yes Let me, let me be lonely 'Cause I love him only Oh, let me be, oh, let me be Oh, let me be, let me, let me Oh, won't you let me be lonely Oh yeah, let me be lonely Oh, oh, yeah, let me be lonely, yeah I'll be, let me be lonely ",3
"28","Dionne Warwick","This Girl's In Love With You","You see this girl, this girl's in love with you Yes I'm in love who looks at you the way I do When you smile I can tell it know each other very well How can I show you I'm glad I got to know you 'cause I've heard some talk they say you think I'm fine This girl's in love and what I'd do to make you mine Tell me now is it so don't let me be the last to know My hands are shakin' don't let my heart keep breaking 'cause I need your love, I want your love Say you're in love and you'll be my guy, if not I'll just die Tell me now is it so don't let me be the last to know My hands are shakin' don't let my heart keep breaking 'cause I need your love, I want your love Say you're in love and you'll be my guy, if not I'll just die",3
"39","Dionne Warwick","Trains And Boats And Planes","Trains and bloats and planes are passing by They mean a trip to Paris or Rome For someone else but not for me The trains and the boats and planes Took you away, away from me  We were so in love and high above We had a star to wish upon Wish and dreams come true, but not for me The trains and the boats and planes Took you away, away from me  You are from another part of the world You had to go back awhile and then You said you soon would return again I'm waiting here like I promised to I'm waiting here, but where are you  Oh...oh...trains and boats and planes took you away But every time I see him I pray And if my prayer can cross the sea The trains and the boats and planes Will bring back you back, back home to me, whoa...oh...  Mmm...mmm...mmm...mmm...mmm... Mmm...mmm...mmm...mmm... Mmm...mmm...mmm...mmm...mmm...mmm...mmm...mmm... Mmm...mmm...mmm...mmm...mmm... Mmm...mmm...mmm... The trains and the boats and planes Will bring you back, back home to me, whoa, whoa  Mmm...mmm...mmm...mmm...mmm... Mmm...mmm...mmm...mmm... Mmm...mmm...mmm...mmm...mmm...mmm...mmm...mmm... Mmm...mmm...mmm...mmm...mmm... Mmm...mmm...mmm...",3
"42","Dionne Warwick","Odds And Ends","Your pillow wasn't slept upon Your closet was empty too All of your shirts and ties were gone There wasn't a trace of you How could you go and leave so completely? Nothing was left of all the memories That we used to share Just an empty tube of toothpaste And a half filled cup of coffee Odds and ends of a beautiful love affair At least you could have said goodbye You shouldn't have run away Were you afraid that I would cry? My tears might have made you stay? What of the dreams that kept us together? Nothing was left to show That we were once so happy there Just an empty tube of toothpaste And a half filled cup of coffee Odds and ends of a beautiful love affair How could you go and leave so completely? Nothing was left of all the memories That we used to share Just an empty tube of toothpaste And a half filled cup of coffee Odds and ends of a beautiful love affair Odds and ends of a beautiful love affair",3
"46","Dionne Warwick","I Just Don't Know What To Do With Myself","I just don't know what to do with myself Don't know just what to do with myself I'm so used to doing everything with you Planning everything for two And now that we're through   I just don't know what to do with my time I'm so lonesome for you, it's a crime Going to a movie only makes me sad Parties make me feel as bad When I'm not with you, I just don't know what to do   Like a summer rose needs the sun and rain I need your sweet love to beat all the pain   I just don't know what to do with myself I just don't know what to do with myself Baby, if your new love ever turns you down Come back, I will be around Just waiting for you, I just know what else to do   Like a summer rose needs the sun and rain I need your sweet love to beat all the pain  I just don't know what to do with myself I just don't know what to do with myself Baby, if your new love ever turns you down Come back, I will be around Just waiting for you, I just know what else to do",3
"49","Dionne Warwick","Alfie","What's it all about, Alfie? Is it just for the moment we live? What's it all about when you sort it out, Alfie? Are we meant to take more than we give Or are we meant to be kind? And if only fools are kind, Alfie, Then I guess it's wise to be cruel. And if life belongs only to the strong, Alfie, What will you lend on an old golden rule? As sure as I believe there's a heaven above, Alfie, I know there's something much more, Something even non-believers can believe in. I believe in love, Alfie. Without true love we just exist, Alfie. Until you find the love you've missed you're nothing, Alfie. When you walk let your heart lead the way And you'll find love any day, Alfie, Alfie.",3
"55","Dionne Warwick","Walk On By","If you see me walking down the street And I start to cry each time we meet Walk on by, walk on by  Make believe  That you don't see the tears Just let me grieve  In private 'cause each time I see you I break down and cry  And walk on by (don't stop) And walk on by (don't stop) And walk on by   I just can't get over losing you And so if I seem broken and blue Walk on by, walk on by  Foolish pride  Is all that I have left So let me hide  The tears and the sadness you gave me  When you said goodbye Walk on by And walk on by I just can't get over losing you And so if I seem broken and blue Walk on by, walk on by  Foolish pride  Is all that I have left So let me hide  The tears and the sadness you gave me  When you said goodbye Walk on by And walk on by Walk on by (don't stop) Walk on by (don't stop)",3
"57","Dionne Warwick","Looking With My Eyes","Well, here I go again Looking with my eyes Seeing with my heart Just like I used to do You said hello again Suddenly the lies Sound just like the truth And I believe in you The tears of yesterday have gone away Here in your arms I will stay This time my happiness won't disappear Loneliness is over Well, here I go again Looking with my eyes Things look bad for me Seeing with my heart I just close my eyes And I can see we're so in love Oh, darling, darling, darling Don't you ever go away from me This time you've got to promise You're gonna stay with me This time my happiness won't disappear Loneliness is over Well, here I go again Looking with my eyes Things look bad for me Seeing with my heart I just close my eyes And I can see we're so in love Oh, darling, darling, darling, promise You're gonna stay with me No, no, no, don't ever Don't ever go away from me Oh, my darling, my darling Don't ever go far away from me, this time ",3
"69","Dionne Warwick","Are You There (With Another Girl)","I hear the music coming out of your radio Are you there with another girl instead of me? I hear your laughter and there's something I've got to know Are you there with another girl instead of me?  Well, I'm standing on your doorstep and I don't know what to do Should I ring your doorbell or just walk away? My friends all say that you were never true Hiding in the shadows  I see two silhouettes in the back of your window shade Are you there with another girl when I am gone? I can't believe you'd break the promises that you made If you're there with another girl, I can't go on  Oh, I only know I love you and I couldn't say goodbye So if there's another, I don't want to know If you should go, oh, I would surely die Love requires faith, I've got a lot of faith but I hear the music comin' out of your radio  Oh, I only know I love you and I couldn't say goodbye So if there's another, I don't want to know If you should go, oh, I would surely die You would never leave me, hurt me or deceive me I'm a fool to doubt you, worry so about you Love requires faith, I've got a lot in me but I hear the music coming out of your radio",3
