"","artist","on_board"
"1","? (Question Mark) & The Mysterians",4
"2","100 Proof Aged in Soul",1
"3","1910 Fruitgum Co.",7
"4","2 Of Clubs",1
"5","5 Stairsteps and Cubie",2
"6","A.B. Skhy",1
"7","Aaron Neville",2
"8","Abaco Dream",1
"9","Ace Cannon",1
"10","Adam Faith",1
"11","Adam Faith With The Roulettes",1
"12","Adam Wade",1
"13","Al (He's the King) Hirt",5
"14","Al Greene & The Soul Mate's",1
"15","Al Hirt",3
"16","Al Kent",1
"17","Al Martino",23
"18","Al Wilson",3
"19","Alan Price Set",1
"20","Albert King",1
"21","Allan Sherman",3
"22","Alvin Cash",1
"23","Alvin Cash & The Crawlers",2
"24","Alvin Cash & The Registers",2
"25","Alvin Robinson",1
"26","Andre Williams",1
"27","Andre Williams & His Orch.",1
"28","Andy Kim",5
"29","Andy Williams",14
"30","Andy Williams with the St. Charles Borromeo Choir",1
"31","Anita Bryant",1
"32","Anna King",1
"33","Anna King-Bobby Byrd",1
"34","Anthony & The Imperials",2
"35","Archie Bell & The Drells",8
"36","Aretha Franklin",24
"37","Arlo Guthrie",1
"38","Art Linkletter",1
"39","Arthur Conley",7
"40","Arthur Prysock",2
"41","Autry Inman",1
"42","B.B. King",16
"43","B.B. King And His Orchestra",1
"44","B.J. Thomas",9
"45","B.J. Thomas And The Triumphs",2
"46","Baby Ray",1
"47","Baby Washington",3
"48","Baja Marimba Band",3
"49","Bar-Kays",2
"50","Barbara & The Browns",1
"51","Barbara Acklin",3
"52","Barbara Greene",1
"53","Barbara Lewis",8
"54","Barbara Lynn",4
"55","Barbara Mason",7
"56","Barbra Streisand",10
"57","Barry Mann",1
"58","Barry McGuire",3
"59","Barry Ryan",1
"60","Barry Young",1
"61","Beau Brummels",1
"62","Bee Gees",11
"63","Ben Colder",2
"64","Ben E. King",7
"65","Bernadette Carroll",1
"66","Bert Kaempfert And His Orchestra",5
"67","Betty Everett",7
"68","Betty Everett & Jerry Butler",2
"69","Betty Harris",2
"70","Betty Wright",1
"71","Bettye Swann",3
"72","Big Brother & The Holding Company",3
"73","Big Maybelle",1
"74","Bill Black's Combo",5
"75","Bill Cosby",3
"76","Bill Deal & The Rhondels",4
"77","Bill Medley",3
"78","Bill Wyman",1
"79","Billie Jo Spears",1
"80","Billy Butler & The Chanters",1
"81","Billy Edd Wheeler",1
"82","Billy J. Kramer With The Dakotas",6
"83","Billy Joe Royal",7
"84","Billy Preston",1
"85","Billy Stewart",9
"86","Billy Strange",2
"87","Billy Vaughn And His Orchestra",2
"88","Billy Vera",1
"89","Billy Vera & Judy Clay",2
"90","Blackwell",1
"91","Blinky & Edwin Starr",1
"92","Blood, Sweat & Tears",3
"93","Blue Cheer",2
"94","Blues Magoos",4
"95","Bo Diddley",1
"96","Bob And Earl",1
"97","Bob Crewe Generation",2
"98","Bob Dylan",11
"99","Bob Kuban And The In-Men",3
"100","Bob Lind",3
"101","Bob Seger System",2
"102","Bobbi Martin",3
"103","Bobbie Gentry",4
"104","Bobbie Gentry & Glen Campbell",1
"105","Bobby Bare",3
"106","Bobby Bland",16
"107","Bobby Cole",1
"108","Bobby Darin",12
"109","Bobby Freeman",2
"110","Bobby Fuller Four",2
"111","Bobby Goldsboro",18
"112","Bobby Hatfield",1
"113","Bobby Hebb",3
"114","Bobby McClure",1
"115","Bobby Moore And The Rhythm Aces",1
"116","Bobby Moore's Rhythm Aces featuring Chico",1
"117","Bobby Powell",2
"118","Bobby Russell",1
"119","Bobby Rydell",5
"120","Bobby Shafto",1
"121","Bobby Sherman",2
"122","Bobby Taylor & The Vancouvers",3
"123","Bobby Vee",10
"124","Bobby Vee And The Strangers",4
"125","Bobby Vee With The Eligibles",1
"126","Bobby Vinton",23
"127","Bobby Womack",3
"128","Bobby Wood",1
"129","Bonnie & The Treasures",1
"130","Bonnie Guitar",1
"131","Booker T. & The MG's",12
"132","Boots Randolph",3
"133","Boots Walker",1
"134","Boston Pops Orchestra  Arthur Fiedler",1
"135","Brenda & The Tabulations",6
"136","Brenda Holloway",6
"137","Brenda Lee",17
"138","Brenton Wood",4
"139","Brian Hyland",9
"140","Brian Poole And The Tremeloes",1
"141","Brian Wilson",1
"142","Brook Benton",11
"143","Brooklyn Bridge",2
"144","Brooks O'Dell",1
"145","Brother Jack McDuff",1
"146","Bruce & Terry",2
"147","Bruce Channel",2
"148","Buchanan Brothers",2
"149","Buck Owens",5
"150","Buck Owens and The Buckaroos",4
"151","Bud Shank",1
"152","Buddy Miles Express",1
"153","Buddy Starcher",1
"154","Bull & The Matadors",1
"155","Bunny Sigler",2
"156","Burl Ives",2
"157","Burt Bacharach",1
"158","Cab Calloway",1
"159","Cal Tjader",1
"160","Calvin Arnold",1
"161","Candi Staton",1
"162","Candy & The Kisses",1
"163","Canned Heat",3
"164","Cannibal And The Headhunters",1
"165","Cannonball Adderley",2
"166","Carla Thomas",11
"167","Casinos",1
"168","Cat Mother & the All Night News Boys",1
"169","Cathy & Joe",1
"170","Chad & Jeremy",11
"171","Chambers Brothers",1
"172","Charley Pride",2
"173","Charlie Rich",1
"174","Cher",7
"175","Chet Atkins",1
"176","Chicago",1
"177","Chris Andrews",1
"178","Chris Bartley",1
"179","Chris Crosby",1
"180","Chris Montez",5
"181","Christine Quaite",1
"182","Chubby Checker",9
"183","Chuck Berry",6
"184","Chuck Jackson",8
"185","Chuck Jackson & Maxine Brown",5
"186","Cilla Black",3
"187","Clarence Ashe",1
"188","Clarence Carter",8
"189","Clarence Reid",1
"190","Classics IV",2
"191","Classics IV Featuring Dennis Yost",3
"192","Claudine Longet",4
"193","Clefs Of Lavender Hill",1
"194","Cliff Nobles & Co.",3
"195","Cliff Richard",3
"196","Cliff Richard And The Shadows",1
"197","Clifford Curry",1
