,artist
0,The Animals
1,The Beatles
2,Cilla Black
3,Chad & Jeremy
4,Cream
5,"Dave Dee, Dozy, Beaky, Mick & Tich"
6,The Dave Clark Five
7,Petula Clark
8,The Spencer Davis Group
9,Donovan
10,Adam Faith
11,Marianne Faithfull
12,Georgie Fame
13,Wayne Fontana and the Mindbenders
14,The Fortunes
15,The Fourmost
16,Freddie and the Dreamers
17,Gerry and the Pacemakers
18,Herman's Hermits
19,The Hollies
20,The Honeycombs
21,The Hullaballoos
22,The Ivy League
23,Tom Jones
24,Jonathan King
25,The Kinks
26,Billy J. Kramer & The Dakotas
27,Lulu
28,Manfred Mann
29,The Moody Blues
30,The Nashville Teens
31,Peter and Gordon
32,The Pretty Things
33,The Rolling Stones
34,The Searchers
35,Small Faces
36,Dusty Springfield
37,The Swinging Blue Jeans
38,Them
39,The Tremeloes
40,The Troggs
41,Ian Whitcomb
42,The Who
43,The Yardbirds
44,The Zombies
