,artist
0,ABC
1,Adam and the Ants
2,After the Fire
3,The Alarm
4,Bananarama
5,Belouis Some
6,Big Country
7,Bow Wow Wow
8,Elvis Costello
9,Culture Club
10,Def Leppard
11,Depeche Mode
12,Dexys Midnight Runners
13,Thomas Dolby
14,Duran Duran
15,The English Beat
16,Eurythmics
17,Fastway
18,A Flock of Seagulls
19,The Fixx
20,Frankie Goes to Hollywood
21,Eddy Grant
22,Haircut One Hundred
23,Heaven 17
24,The Human League
25,Billy Idol
26,Iron Maiden
27,Joe Jackson
28,Howard Jones
29,Joy Division
30,Kajagoogoo
31,Nick Lowe
32,Madness
33,Modern English
34,Naked Eyes
35,Gary Numan
36,Pet Shop Boys
37,The Police
38,The Pretenders
39,Soft Cell
40,Spandau Ballet
41,The Specials
42,Squeeze
43,The Style Council
44,Tears for Fears
45,Thompson Twins
46,U2
47,Ultravox
48,Visage
49,Wham!
50,Paul Young
