,artist,song,text
0,The Beatles,A Shot Of Rhythm And Blues,"Well, if your hands start a-clappin'  
And your fingers start a-poppin'  
And your feet start a-movin' around  
And if you start to swing and sway  
  
When the band starts to play  
A real cool way out sound  
And if you get to can't help it and you can't sit down  
You feel like you gotta move around  
  
You get a shot of rhythm and blues.  
With just a little rock and roll on the side  
Just for good measure.  
Get a pair of dancin' shoes  
  
Well, with your lover by your side  
Don't you know you're gonna have a rockin' time, see'mon!  
Don't you worry 'bout a thing  
If you start to dance and sing  
  
And chills come up on you  
And if the rhythm finally gets you and the beat gets you too  
Well, here's something for you to do  
  
Get a shot of rhythm and blues  
With just a little rock and roll on the side  
Just for good measure  
Get a pair of dancin' shoes  
  
Well, with your lover by your side  
Don't you know you're gonna have a rockin' time, see'mon!  
Don't you worry 'bout a thing  
If you start to dance and sing  
  
And chills come up on you  
And if the rhythm finally gets you and the beat gets you too  
Well, here's something for you to do  
  
Get a shot of rhythm and blues  
Get a pair of dancin' shoes  
Get a shot of rhythm and blues  
Well, with your lover by your side  
  
Don't you know you're gonna have a rockin' time, see'mon!  
Don't you worry 'bout a thing  
If you start to dance and sing  
And chills come up on you  
  
And if the rhythm finally gets you and the beat gets you too  
Well, here's something for you to do  
Well, here's something for you to do  
Well, here's something for you to do

"
1,The Beatles,Across The Universe,"Words are flowing out like  
Endless rain into a paper cup  
They slither wildly as they slip away across the universe.  
Pools of sorrow waves of joy  
Are drifting through my opened mind  
Possessing and caressing me.  
  
Jai Guru Deva. Om  
Nothing's gonna change my world  
Nothing's gonna change my world  
Nothing's gonna change my world  
Nothing's gonna change my world  
  
Images of broken light, which  
Dance before me like a million eyes,  
They call me on and on across the universe.  
Thoughts meander like a  
Restless wind inside a letter box  
They tumble blindly as they make their way across the universe.  
  
Jai Guru Deva. Om  
Nothing's gonna change my world  
Nothing's gonna change my world  
Nothing's gonna change my world  
Nothing's gonna change my world  
  
Sounds of laughter, shades of life  
Are ringing through my opened ears  
Inciting and inviting me.  
Limitless undying love, which  
Shines around me like a million suns,  
It calls me on and on across the universe  
  
Jai Guru Deva, om.  
Nothing's gonna change my world  
Nothing's gonna change my world  
Nothing's gonna change my world  
Nothing's gonna change my world  
  
Jai Guru Deva  
Jai Guru Deva  
Jai Guru Deva  
Jai Guru Deva  
Jai Guru Deva

"
2,The Beatles,All I've Got To Do,"Whenever I want you around, yeah  
All I gotta do  
Is call you on the phone  
And you'll come running home, yeah  
That's all I gotta do.  
  
And when I, I wanna kiss you, yeah  
All I gotta do  
Is whisper in your ear  
The words you long to hear  
And I'll be kissing you  
  
And the same goes for me  
Whenever you want me at all  
I'll be here yes I will  
Whenever you call  
You just gotta call on me, yeah  
You just gotta call on me  
  
And when I, I wanna kiss you, yeah  
All I got to do  
Is call you on the phone  
And you'll come running home, yeah  
That's all I gotta do.  
  
And the same goes for me  
Whenever you want me at all  
I'll be here, yes I will  
Whenever you call  
You just gotta call on me  
You just gotta call on me.  
  
Oh, you just gotta call on me

"
3,The Beatles,And I Love Her,"I give her all my love  
That's all I do  
And if you saw my love  
You'd love her to  
I love her  
  
She gives my everything  
And tenderly  
The kiss my lover brings  
She brings to me  
And I love her  
  
A love like ours  
Could never die  
As long as I  
Have you near me  
  
Bright are the stars that shine  
Dark is the sky  
I know this love of mine  
Will never die  
And I love her  
  
Bright are the stars that shine  
Dark is the sky  
I know this love of mine  
Will never die  
And I love her, ooh

"
4,The Beatles,And Your Bird Can Sing,"You tell me that you've got everything you want  
And your bird can sing  
But you don't get me  
You don't get me  
  
You say you've seen the seven wonders  
And you bird is green  
But you can't see me  
You can't see me  
  
When your prized possessions  
Start to weigh you down  
Look in my direction  
I'll be round, I'll be round  
  
When your bird is broken  
Will it bring you down  
You may be awoken  
I'll be round, I'll be round  
  
You tell me that you've heard every sound there is  
And your bird can swing  
But you can't hear me  
You can't hear me

"
5,The Beatles,Another Girl,"For I have got another girl, another girl  
You're making me say that I've got nobody but you  
But as from today well I've got somebody that's new  
I ain't no fool and I don't take what I don't want  
  
For I have got another girl, another girl  
She's sweeter than all the girls and I've met quite a few  
Nobody in all the world can do what she can do  
And so I'm telling you this time you'd better stop  
  
For I have got another girl  
Another girl who will love me till the end  
Through thick and thin she will always be my friend  
  
I don't want to say that I've been unhappy with you  
But as from today, well I've seen somebody that's new  
I ain't no fool and I don't take what I don't want  
  
For I have got another girl  
Another girl who will love me till the end  
Through thick and thin she will always be my friend  
  
For I have got another girl  
Another girl who will love me till the end  
Through thick and thin she will always be my friend  
For I have got another girl

"
6,The Beatles,Any Time At All,"Any time at all, any time at all, any time at all, all  
You've gotta do is call and I'll be there.  
If you need somebody to love, just look into my eyes, I'll  
Be there to make you feel right.  
If you're feeling sorry and sad, I'd really sympathize.  
Don't you be sad, just call me tonight.  
Any time at all, any time at all, any time at all , all  
You've gotta do is call and I'll be there.  
If the sun has faded away, I'll try to make it shine,  
There's nothing I won't do  
If you need a shoulder to cry on I hope it will be mine.  
Call me tonight, and I'll come to you.  
Any time at all, any time at all, any time at all , all  
You've gotta do is call and I'll be there.  
Any time at all, all you've gotta do is call and I'll be there.

"
7,The Beatles,Ask Me Why,"I love you, 'cause you tell me things I want to know.  
And it's true that it really only goes to show,  
That I know,  
That I, I, I, I should never, never, never be blue.  
  
Now you're mine, my happiness still makes me cry.  
And in time, you'll understand the reason why,  
If I cry,  
It's not because I'm sad, but you're the only love that I've ever had.  
  
I can't believe it's happened to me  
I can't conceive of any more misery.  
  
Ask me why, I'll say I love you,  
And I'm always thinking of you.  
  
I love you, 'cause you tell me things I want to know.  
And it's true that it really only goes to show,  
That I know,  
  
That I, I, I, I should never, never, never be blue.  
  
Ask me why, I'll say I love you,  
And I'm always thinking of you.  
  
I can't believe it's happened to me.  
I can't conceive of any more misery.  
  
Ask me why, I'll say I love you,  
And I'm always thinking of you.

"
8,The Beatles,"Baby, You're A Rich Man","How does it feel to be  
One of the beautiful people  
Now that you know who you are  
What do you want to be  
And have you traveled very far  
Far as the eye can see  
  
How does it feel to be  
One of the beautiful people  
How often have you been there  
Often enough to know  
What did you see when you were there  
Nothing that doesn't show  
  
Baby you're a rich man  
Baby you're a rich man  
Baby you're a rich man, too  
You keep all your money in a big brown bag  
Inside a zoo, what a thing to do  
Baby you're a rich man  
Baby you're a rich man  
Baby you're a rich man, too  
  
How does it feel to be  
One of the beautiful people  
Tuned to a natural E  
Happy to be that way  
Now that you've found another key  
What are you going to play  
  
Baby you're a rich man  
Baby you're a rich man  
Baby you're a rich man, too  
You keep all your money in a big brown bag  
Inside a zoo, what a thing to do  
Baby you're a rich man  
Baby you're a rich man  
Baby you're a rich man, too

"
9,The Beatles,Birthday,"You say it's your birthday  
It's my birthday too--yeah  
They say it's your birthday  
We're gonna have a good time  
I'm glad it's your birthday  
Happy birthday to you.  
  
Yes we're going to a party party  
Yes we're going to a party party  
Yes we're going to a party party.  
  
I would like you to dance--Birthday  
Take a cha-cha-cha-chance-Birthday  
I would like you to dance--Birthday  
Dance  
  
You say it's your birthday  
Well it's my birthday too--yeah  
You say it's your birthday  
We're gonna have a good time  
I'm glad it's your birthday  
Happy birthday to you.

"
