,artist,song,text
0,Culture Club,Black Comedy,"Sweet cunning eyes try to take from me  
You're too young, I'm too wise, this is parody  
A taste of what you like can be fatal sometimes  
Arms that hold you tight but leave you cold, so cold  
  
The stars in the sky are out of reach tonight  
Tears fall like rain, wrong again, words won't make me right  
'Cause I knew from the start you were wrong for me  
Call it fate if you like or black comedy  
  
Love, maybe lust, made me sweet sixteen  
So my soul lost control, nothing in between  
A taste of what you want can be brutal sometimes  
Arms that hold you tight but leave you cold, so cold  
  
The stars in the sky are out of reach tonight  
Tears fall like rain, wrong again, words won't make me right  
'Cause I knew from the start you were wrong for me  
Call it fate if you like or black comedy  
  
The stars in the sky are out of reach tonight  
Tears fall like rain, wrong again, words won't make me right  
'Cause I knew from the start you were wrong for me  
Call it fate if you like or black comedy  
  
The stars in the sky are out of reach tonight  
Tears fall like rain, wrong again, words won't make me right  
'Cause I knew from the start you were wrong for me  
Call it fate if you like or black comedy  
  
The stars in the sky are out of reach tonight  
Tears fall like rain, wrong again, words won't make me right  
'Cause I knew from the start you were wrong for me  
Call it fate if you like or black comedy

"
1,Culture Club,Boy Boy (I'm The Boy),"Words that pull the trigger  
Fear the laughing sound  
Haunts you  
To consider  
Love might turn you around  
To face a blind emotion  
Words like 'hey let's try'  
Words like 'thinking it over'  
They just don't apply  
  
[Chorus:]  
I'm the boy (you made me)  
I'm the boy  
I'm the boy  
I'm the boy (you made me)  
I'm the boy  
I'm the boy  
  
Love is...  
What you make it  
Love the overflow  
Play if you can take it some...  
They just don't know  
If all the rules they're making  
Break somebody's heart  
What's the use in taking  
Baby's fall apart  
  
[Chorus]  
  
You made me realize  
That love is just a word  
That goes unheard in a situation  
Where love is nothing  
And you...  
Are all I can see  
  
This boy's in love with you  
You're everything  
I can see  
This boy's in love with you  
You have taken it all  
Away from me

"
2,Culture Club,Cold Shoulder,"Watching the stars on Primrose Hill  
The moon is high and the city is still  
I came here to escape the chill  
Of your cold shoulder  
  
Evil sometimes the things you say  
If you really wish I would just go away  
Then why do you cry  
Like a little child  
  
All your world that's what you say I am  
I'm working so hard to be a better man  
You know I'll never ever lie, never play those games with my mind  
You'll be the loser, you might find  
  
Questions lead to answers in time  
While you're so cold, so cold inside  
Remember that fight in Amsterdam  
When I made you cry 'cause I know I can?  
  
You could not escape the chill  
Of my cold, cold shoulder  
All your world that's what you say I am  
I'm working so hard to be a better man  
  
You know I'll never ever lie, never play those games with my mind  
You'll be the loser, you might find  
Questions lead to answers in time  
While you're so cold  
  
I know you're hurting inside  
Want someone to pay for the tears you cry  
Ain't gonna be me, not this time  
Never lie, never play those games with my mind  
  
You'll be the loser, you might find  
Questions lead to answers in time  
While you're so cold, so cold inside  
Never play those games with my mind  
  
You'll be the loser, you might find  
Questions lead to answers in time  
While you're so cold, so cold inside  
I know you're hurting  
  
I'm hurting too  
But I don't want to hurt you  
'Cause I love you  
But my head says 'not this time'

"
3,Culture Club,Confidence Trick,"Never meant to hurt you, I don't know why  
You come with your lawyers and your alibi  
How can you look me straight in the eye  
When you know  
  
The clock on the wall is singing our song  
The love in my heart is all dead and gone  
You know why  
You know why  
  
There you go with your confidence trick  
I'm much too wise, you don't fool me a bit  
Feeling so low and looking so high  
We both know that your truth is a lie  
  
I never really knew you all these years  
You lied to my face while I undressed your fears  
Then you set me a-sail on an ocean of tears  
Said goodbye  
  
The clock on the wall is ticking real slow  
There's nothing to say and there's nowhere to go  
You know why  
You know why  
  
There, there you go with your confidence trick  
I'm much too wise, you don't fool me a bit, no no  
Feeling so low and looking so high  
We both know that your truth is a lie  
  
It's a lie  
  
Looking up to the truth of what you are  
Blinding all colours and beauty  
And the sparkle in your eye is blinding  
  
The clock on the wall is singing our song  
The love in my heart is all dead and gone  
You know why  
You know why  
Why, why, why, why, why, why  
  
There, there you go with your confidence trick  
I'm much too wise, you don't fool me a bit  
Feeling so low and looking so high  
We both know that your truth is a lie  
It's a lie, lie  
  
[Repeats]  
(The truth is, the truth is a lie)  
  
And you never stopped loving me  
Choking back tears for you  
So lovable  
And we never go  
And we never know  
See I'm over  
But I'm under  
I don't ever wanna come down  
I don't ever wanna come down  
I don't ever wanna come down  
To where you are

"
4,Culture Club,Dangerous Man,"He could word it out like a dangerous man  
How could you value his intentions?  
Martin had the devil just like anyone can  
He spoke words they were frightened to mention  
  
[Chorus:]  
Yesterday ain't gone  
We just pushed it aside  
Out in the jungle  
There ain't nowhere you can hide  
There's a different smile on your face today  
Though you wear it well there's a lot to say  
There's a different mood in the world tonight  
If we can do it good we can do it right  
  
John he washed it over with a confidence tan  
I know peace and love ain't prevention  
Brian in the closet with his master-plan  
Build them up its so sad they forget you  
  
[Chorus]  
  
[Repeat: x2]  
Are we not men, did you save us?  
Are we not men, did you try, did you try?  
  
We have been [Repeat: x3]  
We have been denied  
  
I could word it out like a dangerous man  
If they landed here we'd collect them  
Yellow, black or white here in the circus of man  
I don't know, I don't care, I forget you  
  
[Chorus]

"
5,Culture Club,Don't Cry,"You say that you're misunderstood  
But you like it that way  
Then you say you're lonely  
Well that's the price you pay  
And I don't think I love you  
That's the cruelest game we play  
But I love you that way  
You're a perfect lover  
Why don't you stay?  
You're a perfect lover  
Ain't it always that way  
You feel a little twisted  
You feel a little pain  
You're a little hateful  
Don't worry, you'll feel that way again  
Cry, don't  
Cry don't cry for me  
You say that you're not beautiful  
But you are in my eyes  
You say my love's too heavy  
Well that comes as no surprise  
It's already over  
There's nothing to say  
It's already over  
But you need to love to show you your way

"
6,Culture Club,Don't Go Down That Street,"Don't go down that street  
In those shoes that squeak  
'cause I get afraid that you might not come home  
Careful how you speak  
When you're on the street  
'cause they've broken down all the telephones  
  
Don't go down that street, no no no  
Don't go down that street, no no no  
Don't go down that street  
  
Don't go down that street  
Where the brave boys meet  
'cause I'm chicken feed when they're on their own  
Don't get in that car  
Things might go too far  
(line in japanese)  
  
Don't go down that street, no no no  
Don't go down that street, no no no  
Don't go down that street  
  
(japanese talkover by miko)  
  
(ooh, ooh, aaah, aah)  
  
(japanese verse)

"
7,Culture Club,Fat Cat,"Another song of woe  
Woe sounds like this  
You say nothing's changed, where were you when my world  
Was spinning into masquerade  
You claim it's just a question of mathematics  
I shut the door on your amateur dramatics  
Then you think too much  
And you talk too much, vicariously  
Yeah you think too much  
And you talk too much  
Every word is substance free  
You're the dirt on my collar  
You're the hole in my favourite shoe  
You're the last dying breath of love  
You're the weight that I need to lose  
And you hurt yourself  
You say I'm deranged, I'll admit to being strange  
But I just can't stop loving you  
If the light in your eyes  
Addiction came as a surprise  
Didn't think I'd be so into you  
Then you think too much  
And you talk too much, so carelessly  
Yeah you think too much  
And you talk too much  
Every word is substance free  
You're the dirt on my collar  
You're the hole in my favourite shoe  
You're the last dying breath of love  
You're the weight that I need to lose  
You're the dirt on my collar  
You're the hole in my favourite shoe  
You're the last, last dying breath of love  
You're the weight that I need to lose  
You're the dirt on my collar  
You're the hole in my favourite shoe  
You're the last dying breath of love  
You're the weight that I need to lose  

"
8,Culture Club,How D'ya Keep Your Credibility?,"Hey, this song is for Marilyn and every drag queen  
Oh brother, it's not like the past  
We're wearing stilettos and talking too fast  
Passing the mirror hung up in pose  
The boys they were fairest in immaculate clothes  
Lunch with Janet Street Porter and Marilyn's nose  
But this life is a baby, so sad when it grows  
Into you and me, ah, what the hell we're gonna be?  
Where will we go and what will we be?  
If we can't communicate intelligently  
There's a price on my head but I've never been free  
I said, ""'How d'ya keep your credibility?""  
No more crying, no more trying  
Please, no more dying  
I just wanna be free  
I'm taking the trouble right to your door  
Why'd you do it, you bastard? Don't love you no more  
Sinners beside me, saints on the right  
And if you slow down, you'll be a turkey tonight  
c'mon let's go a little further, don't be uptight  
If you feel insecure, well, just turn off the light  
Where will we go and what will we be?  
If we can't communicate intelligently  
There's a price on my head but I've never been free  
I said, ""'How d'ya keep your credibility?""  
I said, ""'How d'ya keep your credibility?""  

"
9,Culture Club,Less Than Perfect,"I know a song ain't good enough to let you know how I feel  
I'll sing it hard, I'll sing it sweet, to let you know that it's real  
If I change my attitude, maybe I can conquer you completely  
All the things I say and do, everything I learn from you defeats me  
  
And I let you down  
I let you down  
I let you down  
I let you down  
  
I know it's wrong to blame the past for everything that I do  
I fool the world most of the time but there's no fooling you  
If I change my attitude, maybe I can conquer you completely  
Everything I say and do, all I learn from you defeat me  
  
And I let you down  
I let you down  
I let you down  
I let you down  
I let you down  
Let you down  
  
What you see ain't always what you get  
No matter how clear it seems  
One minute lovers, then the next  
  
Oh oh no  
Oh no  
  
I let you down, yeah yeah  
I let you down [Repeat: x5]  
Let you down  
Let you down

"
