"","Artist","Song","Lyrics"
0,"The Buckinghams","Don't You Care","If you don't love me
Why don't you tell me
Instead of runnin' around
With all the other guys in town
Can't you see
You're hurtin' me
Don't you care (don't you care), don't you care
If you don't want me
Why don't you tell me
Instead of tellin' lies
And makin' me cry
Whatever happened to all the good times we used to have
The times we cried and laughed
I want to know, I want to know
Will you ever love me again
Or will I find out that this is the end
Don't you care
You said that you'd believe me
Then why'd you ever leave me
I'm standin' here all alone
Without a girl of my own
Don't you care (don't you care) don't you care"
1,"The Buckinghams","Susan","Susan
The Buckinghams
(Holvay/Beisbier/Guercio)
        Susan,    looks like I am losin'
        I'm losin' my mind  (losin' my mind)
        I'm wastin' my time
        Susan do you have to be confusin'
        I ask myself why you're sayin' goodbye
        No other girl could ever take the place of you
        Though you're hurtin' me 
        You know I'll always be thinkin' of you
        Girl I always love you
        Love love love love...
        I love you, yes I do, I do      (2x)
        Susan     I love you"
3,"The Buckinghams","Kind Of A Drag","Kind of a drag
When your baby don't love you
Kind of a drag
When you know she's been untrue
Oh oh, listen to what I've gotta to say
Girl, I still love you
I'll always love you
Anyway, anyway, anyway
Kind of a drag
When your baby says goodbye
Kind of a drag 
When you feel like you want to cry
Girl, even though you make me feel blue
I still love you
I'll always love you
Anyway, anyway, anyway
Oh, listen to what I've gotta say
Girl, I still love you
I'll always love you
Anyway, anyway, anyway"
4,"The Buckinghams","I've Been Wrong Before","I ... I’ve been wrong before.
But I know for sure when I saw you last night
Out with another guy.
You nearly made me cry.
So I’m b egging you, girl,
Stand by me, my love, and I’ll give you anything you want any time you want.
So stand by me, my love, and I’ll give you everything.
And I’ll give you everything.
Stand by me, my love, and I’ll give you anything you want any time you want.
So stand by me, my love, and I’ll give you everything.
And I’ll give you everything.
I ... I’ve been wrong before.
But I know for sure when I saw you last night.
Out with another guy.
You nearly made me cry.
Cry, so I’m begging you, girl.
Cry, so I’m begging you, girl.
Cry, so I’m begging you, girl,
Cry."
6,"The Buckinghams","Love Ain't Enough","Love ain’t enough to keep us together, babe.
Love ain’t enough to make us be true to each other.
We gotta understand how we feel, yeah yeah.
Just gettin’ kicks ain’t gonna make our love real, yeah, yeah.
So let’s realize, sympathize with one another.
Understand, and reprimand each other.
Love ain’t enough to make us one, girl.
Love ain’t enough to hold us back when we try and run, girl.
We gotta know how we’ll pay the bills, yeah, yeah.
Are we in love or is it just for the thrill, yeah, yeah.
So let’s realize, sympathize with one another.
Understand, and reprimand each other.
Love alone never made two people stick together.
They had to understand, understand one another, mmmmm.
