Artist,Label,Number
The Beatles,1,201
Dusty Springfield,1,200
Elvis Costello,2,200
Gary Numan,2,200
Pet Shop Boys,2,200
The Hollies,1,200
The Kinks,1,200
The Rolling Stones,1,200
Marianne Faithfull,1,198
The Moody Blues,1,198
Donovan,1,197
The Who,1,187
Duran Duran,2,186
Depeche Mode,2,185
Iron Maiden,2,175
Eurythmics,2,167
Joe Jackson,2,159
Def Leppard,2,157
Tom Jones,1,157
Squeeze,2,153
U2,2,145
Adam and the Ants,2,133
Madness,2,121
Bananarama,2,116
Billy Idol,2,114
Howard Jones,2,112
The Pretenders,2,104
Manfred Mann,1,101
Big Country,2,90
The Police,2,89
Culture Club,2,83
The Human League,2,82
ABC,2,77
Tears for Fears,2,76
Herman's Hermits,1,73
The Style Council,2,73
The Yardbirds,1,70
Petula Clark,1,69
The Animals,1,68
The Alarm,2,67
Ultravox,2,65
Thompson Twins,2,63
The Fixx,2,62
The Pretty Things,1,59
Heaven 17,2,53
Soft Cell,2,53
Joy Division,2,50
Cream,1,45
Modern English,2,45
A Flock of Seagulls,2,43
Spandau Ballet,2,43
Paul Young,2,42
Frankie Goes to Hollywood,2,36
The English Beat,2,35
Nick Lowe,2,34
Thomas Dolby,2,34
Bow Wow Wow,2,33
Naked Eyes,2,30
Small Faces,1,27
The Searchers,1,25
Kajagoogoo,2,24
The Specials,2,24
Visage,2,24
The Tremeloes,1,23
Lulu,1,22
Wham!,2,21
The Dave Clark Five,1,20
The Troggs,1,18
The Zombies,1,18
Chad & Jeremy,1,17
Fastway,2,17
Gerry and the Pacemakers,1,16
Georgie Fame,1,15
Cilla Black,1,14
Dexys Midnight Runners,2,14
Them,1,14
Peter and Gordon,1,13
Adam Faith,1,12
Eddy Grant,2,12
The Fortunes,1,10
"Dave Dee, Dozy, Beaky, Mick & Tich",1,9
The Spencer Davis Group,1,8
Billy J. Kramer & The Dakotas,1,6
Freddie and the Dreamers,1,5
After the Fire,2,4
Ian Whitcomb,1,3
Belouis Some,2,2
Jonathan King,1,2
The Fourmost,1,2
The Nashville Teens,1,2
The Swinging Blue Jeans,1,2
The Honeycombs,1,1
