,artist,song,lyrics
368,The Beatles,She Loves You,"

She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah, yeah

You think you lost your love
Well, I saw her yesterday
It's you she's thinking of
And she told me what to say

She says she loves you
And you know that can't be bad
Yes, she loves you
And you know you should be glad

She said you hurt her so
She almost lost her mind
But now she says she knows
You're not the hurting kind

She says she loves you
And you know that can't be bad
Yes, she loves you
And you know you should be glad, ooh

She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
And with a love like that
You know you should be glad

You know it's up to you
I think it's only fair
Pride can hurt you too
Apologize to her

Because she loves you
And you know that can't be bad
Yes, she loves you
And you know you should be glad, ooh

She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
With a love like that
You know you should be glad
With a love like that
You know you should be glad
With a love like that
You know you should be glad
Yeah, yeah, yeah
Yeah, yeah, yeah, yeah
"
467,The Beatles,Please Please Me,"

Last night I said these words to my girl
I know you never even try, girl
C'mon (C'mon), c'mon (C'mon), c'mon (C'mon), c'mon (C'mon)
Please please me, whoa yeah, like I please you

You don't need me to show the way, love
Why do I always have to say ""love""
C'mon (C'mon), c'mon (C'mon), c'mon (C'mon), c'mon (C'mon)
Please please me, whoa yeah, like I please you

I don't wanna sound complaining
But you know there's always rain in my heart (In my heart)
I do all the pleasing with you, it's so hard to reason
With you, whoah yeah, why do you make me blue

Last night I said these words to my girl
I know you never even try, girl
C'mon (C'mon), c'mon (C'mon), c'mon (C'mon), c'mon (C'mon)
Please please me, whoa yeah, like I please you
(Me) Whoa yeah, like I please you
(Me) Whoa yeah, like I please you
"
567,The Beatles,I Saw Her Standing There,"

(1,2,3,4!)

Well, she was just 17
You know what I mean
And the way she looked was way beyond compare
So how could I dance with another (Ooh)
When I saw her standing there

Well she looked at me, and I, I could see
That before too long I'd fall in love with her
She wouldn't dance with another (Whooh)
When I saw her standing there

Well, my heart went ""boom""
When I crossed that room
And I held her hand in mine...

Whoah, we danced through the night
And we held each other tight
And before too long I fell in love with her
Now I'll never dance with another (Whooh)
Since I saw her standing there

Well, my heart went ""boom""
When I crossed that room
And I held her hand in mine...

Whoah, we danced through the night
And we held each other tight
And before too long I fell in love with her
Now I'll never dance with another (Whooh)
Since I saw her standing there
"
1178,The Beatles,Roll Over Beethoven,"

Well gonna write a little letter
Gonna mail it to my local D.J.
It's a rocking little record
I want my jockey to play
Roll over Beethoven
Gotta hear it again today

You know my temperature's rising
And the jukebox blows a fuse
My heart beating rhythm
While my soul keeps singing the blues
Roll over Beethoven
And tell Tchaikovsky the news

I got a rocking pneumonia
I need a shot of rhythm and blues
I think I caught it off the writer
Sittin' down by the rhythm reviews
Roll over Beethoven
We're rockin' in two by two

Well if you feel it and like it
Well get your lover and reel and rock it
Roll it over and move on up
Just triffle further and reel and rock it
Roll it over
Roll over Beethoven
A rocking in two by two - Ooo

Well early in the morning
I'm a giving you the warning
Don't you step on my blue suede shoes
Hey diddle diddle
I'll play my fiddle
Ain't got nothing to lose
Roll over Beethoven
And tell Tchaikovsky the news

You know she wiggles like a glow worm
Dance like a spinning top
She's got a crazy partner
Oughta see them reel an rock
Long as she's got a dime
The music will never stop
Roll over Beethoven
Roll over Beethoven
Roll over Beethoven
Roll over Beethoven
Roll over Beethoven
Dig to these rhythm and blues
"
1279,Dusty Springfield,Stay Awhile,"

Stay awhile, let me hold you
Stay awhile, 'til I've told you, oh, oh
Of the love that I feel tonight, oh yeah

Stay awhile, what's your hurry?
Stay awhile, 'cause I worry, oh
Any time that you're out of sight

I hate to see you go
Tell you what I'll do
I'll be good to you
I'll make you glad that you are mine
So come on baby

Treat me right, must you run now?
For the night's just begun now, oh
Honey please, won't you stay awhile with me?, oh yeah, yeah

Oh, I hate to see you go
Tell you what I'll do
I'll be good to you
I'll make you glad that you are mine
So come on baby

Treat me right, must you run now?
For the night's just begun now, oh
Honey please, won't you stay awhile with me?, oh yeah, yeah
Stay awhile with me
"
1364,The Beatles,You Can't Do That,"

I got something to say that might cause you pain
If I catch you talking to that boy again
I'm gonna let you down
And leave you flat
Because I told you before, oh
You can't do that

Well, it's the second time I've caught you talking to him
Do I have to tell you one more time, I think it's a sin
I think I'll let you down (Let you down)
Leave you flat (Gonna let you down and leave you flat)
Because I've told you before, oh
You can't do that

Everybody's green
Cos I'm the one who won your love
But if they'd seen
You're talking that way they'd laugh in my face

So please listen to me, if you wanna stay mine
I can't help my feelings, I'll go out of my mind
I'm gonna let you down (Let you down)
And leave you flat (Gonna let you down and leave you flat)
Because I've told you before, oh
You can't do that, oh

(You can't do that
You can't do that
You can't do that
You can't do that
You can't do that)

Everybody's green
Cos I'm the one who won your love
But if they'd seen
You're talking that way they'd laugh in my face

So please listen to me, if you wanna stay mine
I can't help my feelings, I'll go out of my mind
I'm gonna let you down (Let you down)
And leave you flat (Gonna let you down and leave you flat)
Because I've told you before, oh
You can't do that
"
1378,The Beatles,Thank You Girl,"

Oh, oh, you've been good to me
You made me glad
When I was blue
And eternally I'll always be
In love with you
And all I gotta do
Is thank you girl, thank you girl

I could tell the world
A thing or two about our love
I know little girl
Only a fool would doubt our love
And all I gotta do
Is thank you girl, thank you girl

Thank you girl for loving me
The way that you do (Way that you do)
That's the kind of love
That is too good to be true
And all I gotta do
Is thank you girl, thank you girl

Oh, oh, you've been good to me
You made me glad
When I was blue
And eternally I'll always be
In love with you
And all I gotta do
Is thank you girl, thank you girl

Oh, oh, oh
Oh, oh, oh
Oh, oh
"
1473,The Beatles,There's A Place,"

There is a place
Where I can go
When I feel low
When I feel blue
And it's my mind
And there's no time when I'm alone

I think of you
And things you do
Go 'round my head
The things you said
Like ""I love only you""

In my mind there's no sorrow
Don't you know that it's so
There'll be no sad tomorrow
Don't you know that it's so

There is a place
Where I can go
When I feel low
When I feel blue
And it's my mind
And there's no time when I'm alone

There's a place...
"
1797,The Rolling Stones,Not Fade Away,"

I wanna tell you how it's gonna be
You're gonna give your love to me
I'm gonna love you night and day
Love is love and not fade away
And my love is bigger than a Cadillac
I'll try to show it if you drive me back
Your love for me has got to be real
Before you'd have noticed how I feel
Love real not fade away
Well love real not fade away
Yeah
I wanna tell you how it's gonna be
You're gonna give your love to me
Love that lasts more than one day
Well love is love and not fade away
Well love is love and not fade away
Well love is love and not fade away
Well love is love and not fade away
Not fade away
Not fade away
"
1863,The Beatles,P.S. I Love You,"

As I write this letter
Send my love to you
Remember that I'll always
Be in love with you

Treasure these few words till we're together
Keep all my love forever
P.S. I love you
You, you, you

I'll be coming home again to you, love
And till the day I do, love
P.S. I love you
You, you, you

As I write this letter
Send my love to you
Remember that I'll always
Be in love with you

Treasure these few words till we're together
Keep all my love forever
P.S. I love you
You, you, you

As I write this letter (Oh)
Send my love to you (You know I want you to)
Remember that I'll always (Yeah)
Be in love with you

I'll be coming home again to you, love
And till the day I do, love
P.S. I love you
You, you, you
You, you, you
I love you
"
