"","artist","song","lyrics"
0,"Cream","Sunshine Of Your Love","It's getting near dawn.  
The lights close their tired eyes.  
I'll soon be with you, my love,  
To give you my dawn surprise.  
I'll be with you, darling, soon,  
I'll be with you when the stars start falling.  
  
I've been waiting so long  
To be where I'm going  
In the sunshine of your love.  
  
I'm with you, my love.  
The light shining through on you.  
Yes, I'm with you, my love,  
It's the morning and just we two.  
I'll stay with you, darling, now,  
I'll stay with you till my seeds are dried up.  
  
I've been waiting so long  
To be where I'm going  
In the sunshine of your love.  
  
It's getting near dawn.  
The lights close their tired eyes.  
I'll soon be with you, my love,  
To give you my dawn surprise.  
I'll be with you, darling, soon,  
I'll be with you when the stars start falling.  
  
I've been waiting so long

"
1,"Dusty Springfield","Stay Awhile","I'm touching your face and I  
Can't get very far  
You travel a million miles  
Always in the stars  
And crossing the clouds  
A fading moon  
Whispered ""It's goodbye""  
But as it starts to die  
  
Stay awhile  
Show your love  
Child among the stars  
Just stay awhile  
Lay with me  
Tell me who you are  
  
I've never believed in much  
What can I be worth ?  
I'm always a shooting star  
Falling down to earth  
I prayed in my heart  
You'd never know  
Feelings wouldn't show  
But now before you go  
  
Stay awhile  
Show your love  
Child among the stars  
Just stay awhile  
Lay with me  
Tell me who you are  
  
And crossing the clouds  
A fading moon  
Whispers ""It's goodbye""  
But as it starts to die  
  
Stay awhile  
Show your love  
Child among the stars  
Just stay awhile  
Lay with me  
Show me who you are  
  
Just stay awhile

"
2,"Herman's Hermits","There's A Kind Of Hush","There's a kind of hush all over the world, tonight  
All over the world, you can hear the sounds of lovers in love  
You know what I mean, just the two of us and nobody else concerned  
There's nobody else and I'm feeling good, holding you tight  
  
So listen very carefully  
Closer now and you will see what I mean, it isn't a dream  
The only sound that you will hear  
Is when I whisper in your ear, ""I love you, forever and ever""  
  
There's a kind of hush all over the world, tonight  
All over the world, people just like us are falling in love  
  
So listen very carefully  
Closer now and you will see what I mean, no no, it isn't a dream  
The only sound that you will hear  
Is when I whisper in your ear, ""I love you, forever and ever""  
  
There's a kind of hush all over the world, tonight  
All over the world, people just like us are falling in love  
Are falling in love, falling in love

"
3,"Herman's Hermits","Wonderful World","I don't know much about my history, now  
Don't know much about biology  
Don't know much about the science book, now  
Don't know much about the French I took  
  
All I do know is I love you, now  
And I wonder if you love me too  
Ooh, what a wonderful world this could be  
  
Ooh, I don't know much about geography, now  
Don't know much about trigonometry, now  
Don't know much about the algebra  
Don't know what a slide rule is for  
  
But I do know one and one is two, now  
And I wonder if you love me too  
Ooh, what a wonderful world this could be  
  
I don't claim to be an 'A' student  
But that's what I'm trying to be  
But by being an 'A' student, baby  
Look like I could win your love for me  
  
Don't know much about the history, now, oh now  
Don't know much about biology  
I don't know much about the science book, now  
Don't know much about the good French I took, oh  
  
All I do know is I love you, now, oh now  
And I wonder if you love me too  
Ooh, what a wonderful world this could be  
  
Good Lord, I don't claim to be an 'A' student  
But that's what I'm trying to be, oh now  
But if I have to be an 'A' student, baby  
I'm gonna win your love for me  
  
I don't know much about geography, now, oh now  
Don't know much about trigonometry  
Don't know much about the algebra, now  
Don't know what a good slide rule is for  
  
But I do know one and one is two, now, oh now  
And I wonder if you love me too  
Ooh, what a wonderful world this could be  
  
Oh, my, my good Lord, I've been trying  
I've been trying, I've been trying, oh Lord  
To understand the thing  
That I've been looking for

"
4,"The Beatles","Hello Goodbye","You say yes, I say no, you say stop, and I say go, go, go  
Oh no - You say goodbye, and I say hello  
Hello, hello - I don't know why you say goodbye I say hello  
Hello, hello - I don't know why you say goodbye I say hello  
  
I say high, you say low, you say why, and I say I don't know - Oh  
Oh no - You say goodbye, and I say hello  
Hello, hello - I don't know why you say goodbye I say hello  
Hello, hello - I don't know why you say goodbye I say hello  
  
Why, why, why, why, why do you say goodbye, goodbye - wow  
Oh no - You say goodbye, and I say hello  
Hello, hello - I don't know why you say goodbye I say hello  
Hello, hello - I don't know why you say goodbye I say hello  
  
You say yes, I say no, you say stop, and I say go, go, go  
Oh no - You say goodbye, and I say hello  
Hello, hello - I don't know why you say goodbye I say hello  
Hello, hello - I don't know why you say goodbye I say hello  
Hello, hello - I don't know why you say goodbye I say Hello - Hello  
  
Hey-la, He-be Hello  
Hey-la, He-be Hello  
Hey-la, He-be Hello  
Hey-la, He-be Hello

"
5,"The Beatles","I Saw Her Standing There","Well she was just seventeen  
You know what I mean  
And the way she looked  
Was way beyond compare  
So how could I dance with another,  
Oh, when I saw her standing there  
  
Well she looked at me  
And I, I could see  
That before too long  
I'd fall in love with her  
She wouldn't dance with another  
Oh, when I saw her standing there  
  
Well my heart went boom  
When I crossed that room  
And I held her hand in mine  
  
Oh we danced through the night  
And we held each other tight  
And before too long  
I fell in love with her  
Now I'll never dance with another  
Oh, when I saw her standing there  
  
Well my heart went boom  
When I crossed that room  
And I held her hand in mine  
  
Oh we danced through the night  
And we held each other tight  
And before too long  
I fell in love with her  
Now I'll never dance with another  
Oh, when I saw her standing there  
Oh, since I saw her standing there  
Yeah, well since I saw her standing there

"
6,"The Beatles","P.S. I Love You","Dear, I thought I'd drop a line.  
The weather's cool. The folks are fine.  
I'm in bed each night at nine.  
P.S. I love you.  
  
Yesterday we had some rain,  
but all in all I can't complain.  
Was it dusty on the train?  
P.S. I love you.  
  
Write to the Browns just as soon as you're able.  
They came around to call.  
I burned a hole in the dining room table.  
And let me see, I guess that's all.  
  
Nothin' else for me to say,  
and so I'll close. Oh, by the way,  
everybody's thinkin' of you.  
P.S. I love you.  
  
I do my best to obey all your wishes.  
I put a sign up. Think  
now I got to buy us a new set of dishes,  
or wash the ones that have piled in the sink.  
  
Nothing else to tell you, dear.  
Except, each day feels like a year.  
Every night I'm dreamin' of you.  
P.S. I love you.  
P.S. I love you.

"
7,"The Beatles","Revolution","You say you want a revolution, well you know, we all want to change the world  
You tell me that it's evolution, well you know  
We all want to change the world  
But when you talk about destruction  
Don't you know that you can count me out  
Don't you know it's gonna be alright, alright, alright.  
You say you got a real solution, well you know, we'd all love to see the plan  
You ask me for a contribution, well you know, we are doing what we can  
But if you want money for people with minds that hate  
All I can tell you brother is you have to wait  
Don't you know it's gonna be alright, alright, alright.  
You say you'll change the constitution, well you know  
We all want to change your head  
You tell me it's the institution, well you know  
You better free your mind instead  
But if you go carrying pictures of Chairman Mao  
You ain't gonna make it with anyone anyhow  
Don't you know it's gonna be alright, alright, alright

"
8,"The Beatles","Roll Over Beethoven","I'm gonna write a little letter,  
Gonna mail it to my local DJ  
It's a rockin' rhythm record  
I want my jockey to play  
Roll Over Beethoven, I gotta hear it again today  
  
You know, my temperature's risin'  
And the jukebox blows a fuse  
My heart's beatin' rhythm  
And my soul keeps on singin' the blues  
Roll Over Beethoven and tell Tchaikovsky the news  
  
I got the rockin' pneumonia,  
I need a shot of rhythm and blues  
I think I'm rollin' arthritis  
Sittin' down by the rhythm review  
Roll Over Beethoven rockin' in two by two  
  
Well, if you feel you like it  
Go get your lover, then reel and rock it  
Roll it over and move on up just  
A trifle further and reel and rock it,  
Roll it over,  
Roll Over Beethoven rockin' in two by two  
  
Well, early in the mornin' I'm a-givin' you a warnin'  
Don't you step on my blue suede shoes  
Hey diddle diddle, I am playin' my fiddle,  
Ain't got nothin' to lose  
Roll Over Beethoven and tell Tschaikowsky the news  
  
You know she wiggles like a glow worm,  
Dance like a spinnin' top  
She got a crazy partner,  
Oughta see 'em reel and rock  
Long as she got a dime the music will never stop  
  
Roll Over Beethoven,  
Roll Over Beethoven,  
Roll Over Beethoven,  
Roll Over Beethoven,  
Roll Over Beethoven and dig these rhythm and blues

"
9,"The Beatles","She's A Woman","She got everything I need,  
She makes me smile, she makes me bleed  
'Cause she's a woman  
  
She got the end, she got the means,  
She's in my heart and in my dreams  
An' it makes me cry I want to make her mine  
  
She ain't black, but, she got soul,  
She ain't young, she ain't old,  
She shine like silver, burn like gold  
'Cause she's a woman, she's a woman  
  
She got everything I need,  
She got comfort, she got speed  
She's a woman, she's a woman  
  
She do me bad, she do me good,  
She got the Gypsy in her blood  
'Cause' she's a woman, she's a woman  
  
She ain't black, but, she got soul,  
She ain't young, she ain't old,  
Shine like silver, burn like gold  
She's a woman, she's a woman  
  
She got a fire in her eyes,  
I know she sees through all my lies,  
'Cause she's a woman, she's a woman  
  
I know I'm the danger zone  
If I leave her all alone  
'Cause she's a woman, she's a woman  
  
She ain't black, but, she got soul,  
She ain't young, she ain't old,  
Shine like silver, burn like gold  
She's a woman, woman,  
She's a woman, she's a woman  
  
She's a woman, woman,  
She's a woman  
  
She got everything I need,  
She make me smile, she make me bleed  
She's a woman, she's a woman  
  
She got the end, she got the means,  
She, make me shiver in my jeans  
'Cause she's a woman, she's a woman  
  
She ain't black, but, she got soul,  
She ain't young, she ain't old  
She shine like silver, burn like gold  
'Cause she's a woman, she's a woman  
  
She's a woman

"
