"","topic","term","beta"
"1",1,"i",0.102355700967726
"2",1,"my",0.0493336840363858
"3",1,"know",0.0193771370967262
"4",1,"say",0.0107960205518336
"5",1,"time",0.00755876160563283
"6",1,"yes",0.00745164641991295
"7",1,"want",0.00682085699289588
"8",1,"ever",0.006713741807176
"9",1,"life",0.00648760974843404
"10",1,"back",0.00647570806113183
"11",1,"tell",0.00620196925318102
"12",1,"caus",0.00608295238015893
"13",1,"much",0.00608295238015893
"14",1,"wish",0.00551167138965291
"15",1,"said",0.0054997697023507
"16",2,"you",0.117693363888531
"17",2,"babi",0.0319105718008962
"18",2,"your",0.0278842293954338
"19",2,"know",0.013719701472026
"20",2,"want",0.0135870973808281
"21",2,"now",0.0130205162638918
"22",2,"like",0.0124298253121922
"23",2,"just",0.0123454408905209
"24",2,"see",0.0093678762972598
"25",2,"can",0.00912677794962732
"26",2,"make",0.0081503296417158
"27",2,"got",0.00681223381235557
"28",2,"feel",0.00653497071257822
"29",2,"right",0.00642647645614361
"30",2,"thing",0.00634209203447224
"31",2,"hold",0.00634209203447224
"32",3,"day",0.00945363200479798
"33",3,"tear",0.00845405248009805
"34",3,"dream",0.00844318748526435
"35",3,"cri",0.00756312290373506
"36",3,"rain",0.00755225790890137
"37",3,"away",0.0074762029450655
"38",3,"summer",0.00719371307938943
"39",3,"shoo",0.00707419813621878
"40",3,"doo",0.00657440837386882
"41",3,"young",0.00625932352369166
"42",3,"gone",0.00615067357535472
"43",3,"send",0.00579212874584278
"44",3,"meet",0.00566174880783844
"45",3,"heart",0.00545531390599824
"46",3,"deep",0.00543358391633085
"47",4,"go",0.0176940112326723
"48",4,"let",0.0175853990466022
"49",4,"get",0.0158693265066954
"50",4,"round",0.0115465615011073
"51",4,"time",0.0114379493150372
"52",4,"around",0.0111555576312551
"53",4,"hey",0.00946120752856229
"54",4,"everi",0.00860317125860887
"55",4,"stop",0.00785374717472551
"56",4,"gotta",0.00737585355601728
"57",4,"tri",0.00729982502576824
"58",4,"mountain",0.00674590287681097
"59",4,"better",0.00663729069074092
"60",4,"way",0.00632231535113777
"61",4,"river",0.00624628682088873
"62",5,"come",0.0234481806106605
"63",5,"we",0.0179451793169157
"64",5,"danc",0.0130140585497757
"65",5,"night",0.0117839759076445
"66",5,"bar",0.0108128580322778
"67",5,"back",0.0106402148544348
"68",5,"street",0.0088274614870836
"69",5,"ann",0.00850375552862802
"70",5,"long",0.00782397301587131
"71",5,"end",0.00747868666018535
"72",5,"live",0.00691759633219569
"73",5,"submarin",0.0068312747432742
"74",5,"keep",0.00680969434604383
"75",5,"will",0.00653993938066418
"76",5,"sing",0.00647519818897307
"77",6,"shake",0.0103674632751383
"78",6,"chain",0.00848266033652109
"79",6,"hurdi",0.00745648984771839
"80",6,"gurdi",0.00704811587768466
"81",6,"amen",0.00696434685819057
"82",6,"funni",0.00678633769176561
"83",6,"generat",0.00675492430945533
"84",6,"help",0.0066502130350877
"85",6,"hippi",0.00603241651631873
"86",6,"talk",0.00594864749682463
"87",6,"feel",0.00579158058527319
"88",6,"mayb",0.00573922494808939
"89",6,"still",0.0057078115657791
"90",6,"nobodi",0.00555074465422766
"91",6,"without",0.00543556225242328
"92",7,"girl",0.0153960504609308
"93",7,"good",0.0149639109490108
"94",7,"got",0.0149423039734148
"95",7,"littl",0.0141536493641607
"96",7,"ain't",0.0130408901209667
"97",7,"sweet",0.0109774239515485
"98",7,"give",0.00879511941635237
"99",7,"ron",0.00863306709938236
"100",7,"bit",0.00846021129461436
"101",7,"right",0.00728263112463228
"102",7,"gonna",0.00710977531986427
"103",7,"news",0.00659120790556023
"104",7,"home",0.00648317302758023
"105",7,"boppa",0.0061050509546502
"106",7,"kind",0.00565130446713417
"107",7,"bop",0.00565130446713417
"108",8,"love",0.0492097921692564
"109",8,"need",0.00882027558198078
"110",8,"world",0.00702295325733972
"111",8,"everybodi",0.00669921196905033
"112",8,"never",0.00647594211505766
"113",8,"arm",0.00607405637787083
"114",8,"noth",0.00590660398737632
"115",8,"true",0.00582845953847889
"116",8,"give",0.00578380556768035
"117",8,"your",0.00549355475748987
"118",8,"somebodi",0.00548239126479023
"119",8,"someon",0.00542657380129206
"120",8,"return",0.00531493887429572
"121",8,"one",0.00529261188889645
"122",8,"touch",0.00521446743999902
"123",9,"he",0.0196725133755208
"124",9,"man",0.0188462700774292
"125",9,"one",0.0161864457616548
"126",9,"him",0.0159487593334367
"127",9,"his",0.013990675900973
"128",9,"woman",0.00851256965061227
"129",9,"take",0.00828620162373785
"130",9,"can",0.00751655033236485
"131",9,"boy",0.00669030703427325
"132",9,"yes",0.00645262060605512
"133",9,"say",0.0061696605724621
"134",9,"find",0.00587538213752537
"135",9,"friend",0.00569428771602584
"136",9,"anoth",0.00533209887302678
"137",9,"said",0.00532078047168306
"138",10,"her",0.0229011024646921
"139",10,"she",0.0204578443577952
"140",10,"look",0.0133835015664616
"141",10,"now",0.0130059071317594
"142",10,"see",0.0122396125436871
"143",10,"mine",0.0118731238276526
"144",10,"just",0.011428895080944
"145",10,"goin",0.00765295073392142
"146",10,"like",0.00759742214058285
"147",10,"well",0.00604262152710295
"148",10,"head",0.00594267005909353
"149",10,"think",0.00593156434042582
"150",10,"sun",0.00546512415638184
"151",10,"fine",0.00535406696970471
"152",10,"fun",0.00533185553236928
